,epsilon,p,length,size
4345,0.8,0.675,3.79,0.9995
4344,0.8,0.7,3.86,0.9797499999999999
4343,0.8,0.725,3.93,0.9995500000000002
4342,0.8,0.75,3.66,0.9995500000000002
4341,0.8,0.775,3.77,0.9995
4340,0.8,0.8,3.56,0.98965
4339,0.8,0.825,3.46,0.9997
4338,0.8,0.85,3.48,0.99965
4337,0.8,0.875,3.26,0.9997
4336,0.8,0.9,3.32,0.9897
4335,0.8,0.925,3.23,0.9997499999999999
4334,0.8,0.95,3.19,0.9998
4333,0.8,0.975,3.15,0.99965
4332,0.8,1.0,3.12,0.9995500000000002
4331,1.0,0.0,1.0,0.004999999999999999
4330,1.0,0.005,1.03,0.005149999999999999
4329,1.0,0.01,1.1,0.0055000000000000005
4328,1.0,0.015,1.17,0.006000000000000001
4327,1.0,0.02,1.26,0.006600000000000002
4326,1.0,0.025,1.6,0.016249999999999994
4325,1.0,0.03,1.35,0.007350000000000001
4324,1.0,0.035,2.06,0.02769999999999998
4323,1.0,0.04,2.21,0.03674999999999999
4322,1.0,0.045,5.04,0.14339999999999997
4321,1.0,0.05,4.68,0.14295
4320,1.0,0.055,3.91,0.12304999999999998
4319,1.0,0.06,7.03,0.2798999999999999
4318,1.0,0.065,7.44,0.3176499999999999
4317,1.0,0.07,4.92,0.19255000000000003
4316,1.0,0.075,7.61,0.3591
4315,1.0,0.08,6.49,0.3112499999999999
4314,1.0,0.085,6.93,0.34119999999999995
4313,1.0,0.09,6.03,0.32075
4312,1.0,0.095,7.61,0.4378
4311,1.0,0.1,8.47,0.5169
4310,1.0,0.125,7.77,0.5578
4309,1.0,0.15,7.6,0.6278999999999999
4308,1.0,0.175,7.26,0.6778499999999998
4307,1.0,0.2,7.2,0.7483
4306,1.0,0.225,6.94,0.7784999999999997
4305,1.0,0.25,6.79,0.84815
4304,1.0,0.275,6.28,0.8292
4303,1.0,0.3,6.46,0.89885
4302,1.0,0.325,6.22,0.92895
4301,1.0,0.35,6.06,0.9288
4300,1.0,0.375,5.75,0.9491499999999999
4299,1.0,0.4,5.49,0.9293
4298,1.0,0.425,5.47,0.9793000000000001
4297,1.0,0.45,5.08,0.9596000000000001
4296,1.0,0.475,4.81,0.96935
4295,1.0,0.5,4.79,0.9991500000000001
4294,1.0,0.525,4.67,0.9792000000000001
