,p,q,length,size
571,0.0625,0.0,1.34,0.0005520000000000001
570,0.0625,0.1,1.22,0.0005040000000000001
569,0.0625,0.2,1.2,0.0004880000000000001
568,0.0625,0.3,1.2,0.0005040000000000001
567,0.0625,0.4,1.14,0.00047200000000000003
566,0.0625,0.5,1.32,0.000624
565,0.0625,0.6,1.44,0.0006240000000000001
564,0.0625,0.7,1.18,0.0004880000000000001
563,0.0625,0.8,1.3,0.000576
562,0.0625,0.9,1.3,0.000528
561,0.0625,1.0,1.18,0.00048000000000000007
560,0.065,0.0,1.94,0.001104
559,0.065,0.1,1.34,0.0005600000000000001
558,0.065,0.2,1.28,0.0005360000000000001
557,0.065,0.3,1.26,0.0005200000000000001
556,0.065,0.4,1.38,0.0005680000000000001
555,0.065,0.5,1.26,0.0005120000000000001
554,0.065,0.6,1.6,0.0007519999999999998
553,0.065,0.7,1.14,0.0004640000000000001
552,0.065,0.8,1.12,0.00044800000000000005
551,0.065,0.9,1.22,0.000496
550,0.065,1.0,1.36,0.000576
549,0.0675,0.0,1.46,0.000616
548,0.0675,0.1,1.3,0.000544
547,0.0675,0.2,1.16,0.00047200000000000003
546,0.0675,0.3,1.32,0.0005520000000000001
545,0.0675,0.4,1.28,0.0005520000000000001
544,0.0675,0.5,1.74,0.0008959999999999999
543,0.0675,0.6,1.52,0.00068
542,0.0675,0.7,1.42,0.0006320000000000001
541,0.0675,0.8,1.32,0.0005600000000000001
540,0.0675,0.9,1.5,0.00064
539,0.0675,1.0,1.44,0.000616
538,0.07,0.0,1.32,0.000544
537,0.07,0.1,1.26,0.000528
536,0.07,0.2,1.42,0.0006320000000000001
535,0.07,0.3,1.84,0.000896
534,0.07,0.4,1.5,0.0006639999999999999
533,0.07,0.5,1.82,0.001
532,0.07,0.6,1.4,0.0005840000000000001
531,0.07,0.7,1.62,0.000728
530,0.07,0.8,1.46,0.000696
529,0.07,0.9,1.3,0.0005920000000000001
528,0.07,1.0,1.22,0.0004960000000000001
527,0.0725,0.0,1.5,0.0006000000000000001
526,0.0725,0.1,1.58,0.0006720000000000001
525,0.0725,0.2,1.28,0.000536
524,0.0725,0.3,1.24,0.0005360000000000001
523,0.0725,0.4,1.34,0.0005760000000000001
522,0.0725,0.5,1.56,0.000672
521,0.0725,0.6,1.5,0.000696
520,0.0725,0.7,1.96,0.000912
519,0.0725,0.8,1.24,0.0005200000000000001
518,0.0725,0.9,1.34,0.0006000000000000001
517,0.0725,1.0,1.3,0.0005680000000000001
516,0.075,0.0,1.64,0.0007040000000000001
515,0.075,0.1,1.46,0.0006719999999999999
514,0.075,0.2,1.52,0.000696
513,0.075,0.3,1.64,0.0007359999999999997
512,0.075,0.4,1.4,0.0006
511,0.075,0.5,1.44,0.0005840000000000001
510,0.075,0.6,1.78,0.0008640000000000001
509,0.075,0.7,1.3,0.0005600000000000001
508,0.075,0.8,1.5,0.00068
507,0.075,0.9,1.28,0.000544
506,0.075,1.0,1.24,0.0005200000000000001
505,0.0775,0.0,1.48,0.0006320000000000001
504,0.0775,0.1,1.36,0.0006160000000000001
503,0.0775,0.2,1.36,0.0006320000000000001
502,0.0775,0.3,1.48,0.00064
501,0.0775,0.4,1.42,0.0006320000000000001
500,0.0775,0.5,1.14,0.00045600000000000013
499,0.0775,0.6,1.34,0.0006240000000000001
498,0.0775,0.7,1.42,0.0006000000000000002
497,0.0775,0.8,1.52,0.00068
496,0.0775,0.9,1.48,0.0007120000000000002
495,0.0775,1.0,1.42,0.0006000000000000002
494,0.08,0.0,1.6,0.0007359999999999999
493,0.08,0.1,1.46,0.00064
492,0.08,0.2,1.46,0.000696
491,0.08,0.3,1.44,0.0005920000000000001
490,0.08,0.4,1.42,0.0006000000000000001
489,0.08,0.5,1.34,0.0005920000000000001
488,0.08,0.6,1.36,0.0005520000000000001
487,0.08,0.7,1.68,0.000824
486,0.08,0.8,1.32,0.0005520000000000001
485,0.08,0.9,2.3,0.001448
484,0.08,1.0,1.28,0.000528
483,0.0825,0.0,1.56,0.0006639999999999999
482,0.0825,0.1,1.36,0.000608
481,0.0825,0.2,1.9,0.00096
480,0.0825,0.3,1.26,0.0005280000000000001
479,0.0825,0.4,1.48,0.000664
478,0.0825,0.5,1.66,0.0008
477,0.0825,0.6,1.2,0.0004960000000000001
